shot,method,tgt_f1_macro_mean,tgt_f1_macro_ci95,forget_f1_mean,forget_f1_ci95,adapt_time_mean_s,adapt_time_ci95,trainable_params
10,Adapter-Only,0.5022173645284028,0.0,0.0,0.0,2.0833659172058105,0.0,4497.0
10,DAEWC,0.7385229540918163,0.0,0.0,0.0,3.990028142929077,0.0,21009.0
10,ReplayUpper,0.9100456853804566,0.0,0.0003073594239256794,0.0,63.508225440979004,0.0,580898.0
10,Scratch-Plain,0.836457078110106,0.0,,0.0,2.1124889850616455,0.0,580898.0
10,Transfer-Plain,0.5628827767894535,0.0,0.00246311148576972,0.0,1.6792778968811035,0.0,580769.0
10,Transfer-Plain+EWC,0.5903421754894226,0.0,0.00246311148576972,0.0,1.8462812900543213,0.0,580769.0
20,Adapter-Only,0.6040943045241175,0.0,0.0,0.0,2.0782406330108643,0.0,4497.0
20,DAEWC,0.7703549846433878,0.0,0.0,0.0,3.9333243370056152,0.0,21009.0
20,ReplayUpper,0.9840318725099602,0.0,0.0015388044201237738,0.0,59.43451642990112,0.0,580898.0
20,Scratch-Plain,0.8880625598467922,0.0,,0.0,2.1212799549102783,0.0,580898.0
20,Transfer-Plain,0.7275406876198695,0.0,0.0006154559718714037,0.0,1.723052740097046,0.0,580769.0
20,Transfer-Plain+EWC,0.7275406876198695,0.0,0.0006154559718714037,0.0,1.7668609619140625,0.0,580769.0
80,Adapter-Only,0.7551172205673482,0.0,0.0,0.0,2.0434885025024414,0.0,4497.0
80,DAEWC,0.8074251160174377,0.0,0.0,0.0,4.110976219177246,0.0,21009.0
80,ReplayUpper,0.9953422439130641,0.0,0.0,0.0,59.63427209854126,0.0,580898.0
80,Scratch-Plain,0.9620757811514362,0.0,,0.0,4.850725889205933,0.0,580898.0
80,Transfer-Plain,0.942035300746097,0.0,0.005553507135159452,0.0,3.4863626956939697,0.0,580769.0
80,Transfer-Plain+EWC,0.9433979317461154,0.0,0.00586301835555747,0.0,1.8911867141723633,0.0,580769.0
160,Adapter-Only,0.7933593639124634,0.0,0.0,0.0,1.9929420948028564,0.0,4497.0
160,DAEWC,0.8081956752924495,0.0,0.0,0.0,3.8941619396209717,0.0,21009.0
160,ReplayUpper,0.9966731727572913,0.0,4.200293836076341e-07,0.0,58.95561480522156,0.0,580898.0
160,Scratch-Plain,0.9833664823219903,0.0,,0.0,5.5215113162994385,0.0,580898.0
160,Transfer-Plain,0.9627410358565738,0.0,0.03547896411358609,0.0,4.035932540893555,0.0,580769.0
160,Transfer-Plain+EWC,0.9627383966991907,0.0,0.03451684286062484,0.0,1.7549059391021729,0.0,580769.0
