shot,method,tgt_f1_macro_mean,tgt_f1_macro_ci95,forget_f1_mean,forget_f1_ci95,adapt_time_mean_s,adapt_time_ci95,trainable_params
10,Adapter-Only,0.5821690409918671,0.15241116361798107,0.0,0.0,2.0647463321685793,0.019501484769622168,4497.0
10,DAEWC,0.626319892464702,0.15206024676344443,-6.150699773583845e-05,0.0002960015070643726,4.293289422988892,0.027466500892889788,85137.0
10,ReplayUpper,0.8947272744795278,0.04340807356114398,6.180703069917915e-05,0.0004012735400140321,59.82531118392944,1.4640153735548536,580898.0
10,Scratch-Plain,0.7754706668317402,0.02317530239171744,,,1.98723406791687,0.12823498009039655,580898.0
10,Transfer-Plain,0.7511413068484453,0.07066095810650881,0.00018520600391684904,0.00024199372988444056,1.7026275634765624,0.018273148620698863,580769.0
10,Transfer-Plain+EWC,0.7511363986941724,0.07048170688377724,0.00018520600391684904,0.00024199372988444056,1.8108410835266113,0.03986384038183482,580769.0
20,Adapter-Only,0.6022660217260398,0.15148792875947284,0.0,0.0,2.0589810371398927,0.04162435153407028,4497.0
20,DAEWC,0.6675384749937431,0.1274784694241589,-0.00018484179373270404,0.0005267561183747732,4.290220069885254,0.04918810302279444,85137.0
20,ReplayUpper,0.9537032442779104,0.026058967154139388,-2.1421532214738193e-08,0.0002704336910661987,60.28909130096436,0.5571343234565793,580898.0
20,Scratch-Plain,0.852782439976508,0.028186422356911846,,,1.9612311363220214,0.08201553221244647,580898.0
20,Transfer-Plain,0.7982505184532249,0.03242729651679307,0.00018520600391684904,0.00024199372988444056,1.6822337627410888,0.015386909561153177,580769.0
20,Transfer-Plain+EWC,0.7977392258278307,0.03315302952489349,0.00018520600391684904,0.00024199372988444056,1.7799813747406006,0.03581049699543437,580769.0
80,Adapter-Only,0.6237368651945245,0.14387169481123088,0.0,0.0,2.122889995574951,0.04535853410243503,4497.0
80,DAEWC,0.7690906502868151,0.07803580675544865,1.283550757680274e-07,0.0001911428612819712,4.407559394836426,0.02368217733898349,85137.0
80,ReplayUpper,0.9689448131583414,0.009279873761237425,4.2973942893098635e-08,0.00019127542114324699,60.974063539505,1.2551148816975515,580898.0
80,Scratch-Plain,0.9543786405361118,0.007003315141152306,,,4.3842028141021725,0.16529458384408988,580898.0
80,Transfer-Plain,0.8993844728700087,0.03936067156005988,0.0029784462897989306,0.004188345861878908,3.4721446990966798,0.11789195136058768,580769.0
80,Transfer-Plain+EWC,0.8991192267715362,0.03972261915502467,0.0029784462897989306,0.004188345861878908,1.8525918006896973,0.02464364689152293,580769.0
160,Adapter-Only,0.6614752061665856,0.12621574791873386,0.0,0.0,2.1098378181457518,0.04217037088983331,4497.0
160,DAEWC,0.8066433065750254,0.0498737682686208,6.189228079476195e-05,0.0002963100378188839,4.300175285339355,0.06280827006503927,85137.0
160,ReplayUpper,0.9805956320022198,0.0035928971329783764,-6.167802149461554e-05,0.00022633136046454268,62.18905153274536,2.093324819140544,580898.0
160,Scratch-Plain,0.971631128949733,0.0043945817483798085,,,5.592633247375488,0.4547194507133318,580898.0
160,Transfer-Plain,0.9405292987106305,0.026340345672389458,0.006617003117332243,0.009000253255566908,4.536905956268311,0.08261150234292233,580769.0
160,Transfer-Plain+EWC,0.9409309012238068,0.026494002492686682,0.00630054868496055,0.008486060757220797,1.8678526878356934,0.027865954115452035,580769.0
