shot,method,tgt_f1_macro_mean,tgt_f1_macro_ci95,forget_f1_mean,forget_f1_ci95,adapt_time_mean_s,adapt_time_ci95,trainable_params
10,Adapter-Only,0.5853475253542657,0.0699767162757239,0.0,0.0,6.209912443161011,0.5149654798827897,41761.0
10,DAEWC,0.6196340564300922,0.062072613468942515,6.176405675628605e-05,0.00012105755124232065,6.047660970687867,0.5606075494528465,58273.0
10,ReplayUpper,0.726467204807421,0.06926359487233781,0.00024716412101750685,0.0005868268275276166,84.63887758255005,11.545897721006908,580898.0
10,Scratch-Plain,0.7527076927660323,0.01663084268042278,,,12.616462516784669,1.0346899831756742,580898.0
10,Transfer-Plain,0.6225318328619367,0.1110114146130538,0.007560646129966919,0.009581568469582597,10.071081018447876,3.238184590020553,580769.0
10,Transfer-Plain+EWC,0.6218918650981557,0.1103513616704925,0.007367769691373649,0.00906162214409665,5.55445032119751,1.5264645604893414,580769.0
20,Adapter-Only,0.6444161887308499,0.041745162692358916,0.0,0.0,9.698463964462281,2.1490017351986728,41761.0
20,DAEWC,0.6801994636586984,0.02358121774919764,-0.00012346349967717885,0.00024198845936727051,9.697020244598388,2.1482657725090135,58273.0
20,ReplayUpper,0.8122845100023672,0.03897392847406862,6.176405675628605e-05,0.0002264214937368996,84.88871240615845,1.7994327492659092,580898.0
20,Scratch-Plain,0.8226348195835754,0.009356494477191052,,,15.222167158126831,1.253874375182662,580898.0
20,Transfer-Plain,0.7901816708256717,0.048408618830288346,0.015547039252867555,0.007317177550518947,13.867162418365478,0.3327267567664111,580769.0
20,Transfer-Plain+EWC,0.7893586500304831,0.046530143430707556,0.015421262454703677,0.007312863134350499,6.501198625564575,0.1599516810831363,580769.0
80,Adapter-Only,0.6976518322519032,0.016520287445879103,0.0,0.0,12.633543825149536,0.07935261644515551,41761.0
80,DAEWC,0.8262519169935505,0.014380661154321425,-6.17425042396702e-05,0.0001210153083097536,12.62975115776062,0.11299133967713214,122401.0
80,ReplayUpper,0.8668028517365057,0.007703363798174007,0.00012357126231343774,0.0003086416218978256,84.30465240478516,2.7127028688427335,580898.0
80,Scratch-Plain,0.8776077737814777,0.0015566353203279317,,,13.88212971687317,1.0002476294423825,580898.0
80,Transfer-Plain,0.8521365853003742,0.02140036235940832,0.020612416637710917,0.019305932811496795,13.228879642486572,0.5957971718316221,580769.0
80,Transfer-Plain+EWC,0.8544102911285263,0.019091913756095622,0.02060089391835427,0.01884635706860614,5.231794834136963,0.3121507384974503,580769.0
160,Adapter-Only,0.72052626865184,0.031023915642754602,0.0,0.0,14.780882120132446,0.991694827603729,41761.0
160,DAEWC,0.833301548382751,0.017242009921097735,0.0,0.0,14.732402229309082,1.0137340328310818,122401.0
160,ReplayUpper,0.8699220636993271,0.008714285836722423,0.0004323700373458861,0.00014833370752400903,76.86729497909546,2.104093770063402,580898.0
160,Scratch-Plain,0.875327309758179,0.006591427990166018,,,13.37605814933777,0.5577350755700777,580898.0
160,Transfer-Plain,0.864253388898107,0.009746021653070178,0.017680405878008676,0.0065164912693180125,13.494595956802367,0.8065235679110465,580769.0
160,Transfer-Plain+EWC,0.8666384927669751,0.00998573640352051,0.017366114266581724,0.006623333761424094,4.740988445281983,0.26029916059831465,580769.0
