shot,method,tgt_f1_macro_mean,tgt_f1_macro_ci95,forget_f1_mean,forget_f1_ci95,adapt_time_mean_s,adapt_time_ci95,trainable_params
10,Adapter-Only,0.825179690625631,0.048589805015398974,0.0,0.0,2.142060089111328,0.6091697779461254,25186.0
10,DAEWC,0.9046537799128774,0.04443226584888904,0.00025935927403348825,0.00016065600203117827,83.67384886741638,17.885727172102523,305826.0
10,ReplayUpper,0.9315231849277602,0.017432874853647563,0.0017864443870139412,0.0016862163004908559,8.86434235572815,0.3027117950865257,580898.0
10,Scratch-Plain,0.8772947534831987,0.03924255946422698,,,5.947430181503296,4.216325676718706,580769.0
10,Transfer-Plain,0.9041685887485464,0.04695729190997629,0.043370113187653915,0.04245028833987253,6.115768623352051,2.7670028274097906,580769.0
10,Transfer-Plain+EWC,0.8514671876334015,0.08678785379243306,0.0006741784697656738,0.0002711652223371893,3.9109448432922362,0.06923108147394873,580769.0
20,Adapter-Only,0.8515258835693377,0.03842641093210807,0.0,0.0,2.7206851959228517,0.7553502439477832,25186.0
20,DAEWC,0.9751552876644138,0.0057092033386959215,0.0003371498040172005,0.000129476354089488,91.21875138282776,12.80070629448294,305826.0
20,ReplayUpper,0.9324723618502029,0.052013772227588954,0.0013467634538999241,0.0004289125222768665,8.60042724609375,0.2866907688165479,580898.0
20,Scratch-Plain,0.9258312724330955,0.024848261764560543,,,11.024233865737916,7.988737140440704,580769.0
20,Transfer-Plain,0.9495291520515521,0.0376593260783318,0.06030431503896398,0.0966837699492894,13.762675952911376,6.673616861727284,580769.0
20,Transfer-Plain+EWC,0.8955744926791948,0.04903457011988195,0.0008297190002275467,0.0006457009269356722,3.990273189544678,0.08232072984010182,580769.0
80,Adapter-Only,0.8706509792318442,0.03462182050468193,0.0,0.0,3.571905994415283,1.2511515567195288,25186.0
80,DAEWC,0.9828324473695906,0.003526632387817326,0.0003111889168703863,0.00022130630806723047,104.53016557693482,12.879696954649962,205826.0
80,ReplayUpper,0.9829764596562971,0.004666632465392476,0.0031561129955263167,0.004032185651524414,8.493983221054076,0.18788475329422302,580898.0
80,Scratch-Plain,0.9857671673544447,0.004067410152961325,,,4.267611789703369,0.8165179463430885,580769.0
80,Transfer-Plain,0.9885552465582788,0.004626343202677734,0.012821175598390489,0.011228423445444948,5.428194332122803,2.7175975890612154,580769.0
80,Transfer-Plain+EWC,0.9797620242532699,0.00521086745563759,0.0008551375012277873,0.0005360241970253792,5.313000249862671,1.6072196194880788,580769.0
160,Adapter-Only,0.8922180001451088,0.02278261956121482,0.0,0.0,5.37326135635376,1.5392231156069582,25186.0
160,DAEWC,0.9919004932965148,0.0017634513347037672,0.0004666488975149541,0.00022130566973617283,94.94305176734925,20.040447975976388,305826.0
160,ReplayUpper,0.9856234691275558,0.0023099535228881447,0.002148832045423865,0.0014085489541224596,8.698591279983521,0.09168673681302515,580898.0
160,Scratch-Plain,0.990646972974924,0.0012686666040391805,,,4.31880931854248,0.8867680494465935,580769.0
160,Transfer-Plain,0.9895308432345873,0.0035120628124198144,0.0097429569579357,0.007717285496329428,5.914275789260865,2.174151495559598,580769.0
160,Transfer-Plain+EWC,0.9847867888296321,0.0019067718174383787,0.007792542084405984,0.01368735892590387,6.8310168266296385,3.8991506455800353,580769.0
